Timestamp,Temperature,Raw_EC,Sensor_Default_EC,Smart_Calc_EC,Coefficient_Used,Deviation,Distance_from_12_88_Sensor,Distance_from_12_88_Smart,Improvement_Score
2026-01-13 16:34:16,15.8856,11.3772,13.9135,13.7601,0.019,0.153373,1.03348,0.880104,0.153373
2026-01-13 16:34:17,15.8856,11.3772,13.9135,13.7601,0.019,0.153373,1.03348,0.880104,0.153373
2026-01-13 16:34:18,15.8911,11.3761,13.9102,13.757,0.019,0.153226,1.03022,0.876993,0.153226
2026-01-13 16:34:19,15.8903,11.3778,13.9126,13.7593,0.019,0.153268,1.03259,0.879318,0.153268
2026-01-13 16:34:20,15.8903,11.3778,13.9126,13.7593,0.019,0.153268,1.03259,0.879318,0.153268
2026-01-13 16:34:21,15.8716,11.3785,13.9199,13.7661,0.019,0.153729,1.03986,0.886133,0.153729
2026-01-13 16:34:22,15.9059,11.3788,13.9085,13.7556,0.019,0.152906,1.02847,0.875563,0.152906
2026-01-13 16:34:24,15.8815,11.3801,13.9184,13.7649,0.019,0.153512,1.03844,0.88493,0.153512
2026-01-13 16:34:25,15.8815,11.3801,13.9184,13.7649,0.019,0.153512,1.03844,0.88493,0.153512
2026-01-13 16:34:26,15.905,11.3799,13.9102,13.7573,0.019,0.152944,1.0302,0.877255,0.152944
2026-01-13 16:34:27,15.8818,11.3804,13.9186,13.7651,0.019,0.153508,1.03861,0.8851,0.153508
2026-01-13 16:34:28,15.8818,11.3804,13.9186,13.7651,0.019,0.153508,1.03861,0.8851,0.153508
2026-01-13 16:34:29,15.8994,11.3792,13.9112,13.7581,0.019,0.153066,1.03118,0.878117,0.153066
2026-01-13 16:34:30,15.9282,11.3792,13.9014,13.749,0.019,0.152374,1.0214,0.869025,0.152374
2026-01-13 16:34:31,15.9012,11.3807,13.9124,13.7594,0.019,0.153046,1.03244,0.879394,0.153046
2026-01-13 16:34:32,15.9012,11.3807,13.9124,13.7594,0.019,0.153046,1.03244,0.879394,0.153046
2026-01-13 16:34:33,15.9044,11.3807,13.9114,13.7584,0.019,0.152966,1.03136,0.878389,0.152966
2026-01-13 16:34:34,15.8797,11.3817,13.921,13.7674,0.019,0.153576,1.04101,0.887432,0.153576
2026-01-13 16:34:36,15.8797,11.3817,13.921,13.7674,0.019,0.153576,1.04101,0.887432,0.153576
2026-01-13 16:34:37,15.8907,11.382,13.9176,13.7643,0.019,0.153314,1.03763,0.884313,0.153314
2026-01-13 16:34:38,15.8898,11.3808,13.9165,13.7631,0.019,0.15332,1.03646,0.883137,0.15332
2026-01-13 16:34:39,15.8997,11.3812,13.9136,13.7605,0.019,0.153087,1.03357,0.880483,0.153087
2026-01-13 16:34:40,15.8997,11.3812,13.9136,13.7605,0.019,0.153087,1.03357,0.880483,0.153087
2026-01-13 16:34:41,15.9025,11.3793,13.9102,13.7572,0.019,0.152994,1.03024,0.877244,0.152994
2026-01-13 16:34:42,15.8961,11.3779,13.9107,13.7576,0.019,0.153128,1.03069,0.877558,0.153128
2026-01-13 16:34:43,15.8961,11.3779,13.9107,13.7576,0.019,0.153128,1.03069,0.877558,0.153128
2026-01-13 16:34:44,15.8778,11.3785,13.9177,13.7641,0.019,0.153579,1.03769,0.884112,0.153579
2026-01-13 16:34:45,15.8869,11.3781,13.9141,13.7607,0.019,0.153353,1.03407,0.880714,0.153353
2026-01-13 16:34:46,15.8869,11.3782,13.9162,13.7609,0.019,0.15536,1.03625,0.880887,0.15536
2026-01-13 16:34:47,15.881,11.3782,13.9162,13.7627,0.019,0.153497,1.03625,0.88275,0.153497
2026-01-13 16:34:49,15.8997,11.3771,13.9085,13.7555,0.019,0.153032,1.02851,0.875479,0.153032
2026-01-13 16:34:50,15.8865,11.3765,13.9122,13.7589,0.019,0.153341,1.03223,0.878894,0.153341
2026-01-13 16:34:51,15.8865,11.3765,13.9122,13.7589,0.019,0.153341,1.03223,0.878894,0.153341
2026-01-13 16:34:52,15.883,11.3777,13.915,13.7615,0.019,0.153442,1.03497,0.881532,0.153442
2026-01-13 16:34:53,15.8758,11.3763,13.9157,13.7621,0.019,0.153596,1.03571,0.882115,0.153596
2026-01-13 16:34:54,15.8758,11.3763,13.9157,13.7621,0.019,0.153596,1.03571,0.882115,0.153596
2026-01-13 16:34:55,15.8758,11.3763,13.9157,13.7621,0.019,0.153596,1.03571,0.882115,0.153596
2026-01-13 16:34:56,15.8936,11.3752,13.9083,13.7551,0.019,0.153154,1.02827,0.875121,0.153154
2026-01-13 16:34:57,15.88,11.375,13.9126,13.7592,0.019,0.153478,1.03264,0.879162,0.153478
2026-01-13 16:34:58,15.88,11.375,13.9126,13.7592,0.019,0.153478,1.03264,0.879162,0.153478
2026-01-13 16:34:59,15.8741,11.3758,13.9156,13.762,0.019,0.153631,1.03562,0.881984,0.153631
2026-01-13 16:35:00,15.8996,11.3773,13.9089,13.7558,0.019,0.153039,1.02886,0.875823,0.153039
2026-01-13 16:35:02,15.8996,11.3773,13.9089,13.7558,0.019,0.153039,1.02886,0.875823,0.153039
2026-01-13 16:35:03,15.8871,11.3765,13.9121,13.7588,0.019,0.153329,1.03211,0.878778,0.153329
2026-01-13 16:35:04,15.8714,11.377,13.918,13.7643,0.019,0.153712,1.03798,0.884268,0.153712
2026-01-13 16:35:05,15.8959,11.3789,13.9121,13.7589,0.019,0.15315,1.03206,0.87891,0.15315
2026-01-13 16:35:06,15.8959,11.3789,13.9121,13.7589,0.019,0.15315,1.03206,0.87891,0.15315
